"time_start","gender","question","wiki_1","wiki_2","wiki_3","wiki_4","wiki_5","wiki_6","wiki_7","wiki_8","wiki_9","wiki_10","wiki_pair_1","wiki_pair_2","wiki_pair_3","wiki_pair_4","wiki_pair_5","wiki_pair_6","wiki_pair_7","wiki_pair_8","wiki_pair_9","wiki_pair_10"
"2025-02-12 16:29:07 UTC",NA,"society","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,8","11,20","2,6","20,4","15,2","22,10","1,20","5,4","3,2","23,5"
"2025-02-13 12:23:43 UTC",NA,"region","23","22","16","10","3","26","1","7","24","22","23,26","22,13","16,12","10,18","3,27","26,5","1,3","7,25","24,23","22,26"
"2025-02-18 08:55:34 UTC","2","society","10","22","28","27","9","5","34","25","35","24","29,10","22,9","21,28","27,11","9,15","5,18","29,34","25,23","21,35","24,4"
"2025-02-18 08:49:41 UTC","2","work","2","19","21","24","5","13","9","18","3","19","2,12","19,21","21,15","24,4","10,5","23,13","5,9","17,18","3,16","19,2"
"2025-02-18 07:36:38 UTC","2","society","26","31","9","12","16","35","28","3","8","17","26,29","13,31","35,9","26,12","28,16","19,35","28,33","3,27","13,8","17,28"
"2025-02-18 09:12:57 UTC","2","society","33","18","12","35","1","9","11","27","15","12","33,19","18,33","12,9","35,23","29,1","24,9","11,10","17,27","15,20","34,12"
"2025-02-18 09:18:57 UTC","2","society","17","10","15","31","4","7","28",NA,NA,NA,"27,17","10,34","33,15","31,6","4,19","7,13","7,28","18,1","35,32","10,25"
"2025-02-19 10:33:01 UTC","2","society","17","26","1","27","28","28","32","3","5","1","17,24","34,26","1,5","14,27","28,29","28,18","8,32","19,3","34,5","1,20"
"2025-02-18 15:16:31 UTC","2","region","35","7","25","4","32","28","9","27","5","8","31,35","7,12","25,16","4,29","32,7","8,28","31,9","34,27","22,5","27,8"
"2025-02-19 14:53:35 UTC",NA,"region","29","25","5","28",NA,NA,NA,NA,NA,NA,"11,29","26,25","5,6","28,20","11,20","11,22","5,12","33,35","29,21","25,5"
"2025-02-19 12:00:36 UTC","2","region","29","28","28","34","6","11","15","29","34","21","15,29","1,28","20,28","34,20","6,2","35,11","15,8","31,29","34,22","28,21"
"2025-02-19 12:22:37 UTC","2","work","5","19","23","8","24","9","21","4","19","23","14,5","19,10","6,23","8,1","23,24","3,9","5,21","22,4","1,19","23,6"
"2025-02-21 22:34:37 UTC","2","society","1","11","3","22","12","30","35","23","20","4","1,19","13,11","3,27","22,15","12,15","30,8","35,23","23,33","20,3","4,28"
"2025-02-20 12:28:59 UTC","2","region","6","35","24","5","20","31","2","1","24","24","6,13","35,25","32,24","5,22","20,13","32,31","2,32","1,35","24,23","24,9"
"2025-02-20 10:07:34 UTC","1","society","2","15","21","34","22","7","34","16","29","24","2,19","15,10","21,32","5,34","22,14","35,7","34,16","10,16","16,29","24,35"
"2025-02-20 09:03:36 UTC","2","society","16","22","29","9","1","5","5","29","6","34","29,16","13,22","15,29","8,9","1,33","17,5","5,14","29,3","33,6","16,34"
"2025-02-20 10:17:00 UTC","1","region","4","3","15","7","5","19","6","19","20","3","4,9","28,3","23,15","7,26","5,34","32,19","29,6","19,6","20,23","30,3"
"2025-02-20 13:19:06 UTC","1","society","32","10","30","26","2","25","26","7","8","27","32,4","6,10","30,23","26,32","33,2","25,17","22,26","7,22","8,25","27,25"
"2025-02-20 13:54:54 UTC","2","society","23","1","3","21","35","12","6","5","17","30","26,23","17,1","1,3","14,21","17,35","22,12","6,3","5,31","22,17","17,30"
"2025-02-20 13:43:47 UTC","2","society","12","31","33","13","29","25","7","4","33","33","22,12","13,31","4,33","32,13","29,1","25,28","7,22","17,4","31,33","33,10"
"2025-02-20 13:54:02 UTC","2","region","29","10","29","31","17","3","1","29","3","35","29,13","10,5","13,29","26,31","20,17","21,3","30,1","24,29","21,3","35,12"
"2025-02-20 14:19:55 UTC","2","region","6","33","29","34","23","19","13","14","10","11","25,6","27,33","33,29","34,24","23,8","19,6","10,13","14,1","5,10","11,25"
"2025-02-21 10:06:42 UTC",NA,"work","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16,2","1,3","22,13","7,9","7,12","7,23","12,24","12,8","13,18","23,10"
"2025-02-21 11:27:29 UTC",NA,"society","18","17","34","29","16","5",NA,NA,NA,NA,"18,19","17,14","34,19","29,2","15,16","5,32","29,32","35,4","9,25","4,8"
"2025-02-21 11:24:04 UTC",NA,"society","8","26",NA,NA,NA,NA,NA,NA,NA,NA,"8,13","12,26","34,6","1,17","11,30","12,15","13,4","31,35","30,6","1,10"
"2025-02-21 15:21:12 UTC","2","society","25","32","23","4","3","5","23","12","10","28","27,25","32,34","33,23","4,33","29,3","5,31","14,23","12,30","10,17","17,28"
"2025-02-21 14:26:12 UTC","2","society","21","34","14","3","34","1","8","1","9","6","32,21","34,31","14,19","3,19","34,23","29,1","8,7","1,22","29,9","12,6"
"2025-02-21 22:31:33 UTC",NA,"society","14","23","27",NA,NA,NA,NA,NA,NA,NA,"33,14","8,23","27,13","29,19","34,29","7,26","7,22","33,27","30,24","20,35"
"2025-02-21 22:35:50 UTC",NA,"region","21","15","8","30","16","29","32","25","10","4","21,20","29,15","8,18","16,30","12,16","29,7","18,32","5,25","23,10","4,34"
"2025-02-21 22:30:45 UTC","2","region","30","21","10","29","13","4","19","17","24","4","30,14","21,20","10,17","21,29","16,13","4,17","21,19","17,32","12,24","27,4"
"2025-02-21 22:33:42 UTC",NA,"work","4","3","12","16","11","19","9","4","10","10","4,5","3,24","12,14","15,16","11,16","19,8","2,9","4,24","24,10","24,10"
"2025-02-22 00:38:33 UTC","2","work","15","10","8","19","23","12","19","13","18","3","2,15","4,10","24,8","19,6","23,17","12,9","19,24","13,20","18,13","16,3"
"2025-02-22 00:53:18 UTC",NA,"society","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16,23","20,2","17,18","30,8","17,20","20,22","2,23","6,14","23,19","30,17"
"2025-02-22 11:12:08 UTC",NA,"region","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18,19","5,4","13,6","35,2","8,9","35,20","23,13","11,5","28,22","18,9"
"2025-02-22 13:04:56 UTC","1","society","35","27","10","1","17","5",NA,NA,NA,NA,"13,35","35,27","5,10","29,1","17,13","5,4","20,27","28,31","1,27","9,7"
"2025-02-22 17:50:41 UTC","2","society","3","32","5","14","17","4","32","18","31","12","9,3","34,32","15,5","19,14","19,17","4,28","32,6","18,28","31,2","12,22"
"2025-02-23 12:21:07 UTC",NA,"work","4","21","5","3",NA,NA,NA,NA,NA,NA,"4,2","21,20","15,5","3,14","8,21","4,16","19,10","23,16","23,20","1,18"
"2025-02-23 07:43:13 UTC","2","society","1","8","5","5","4","1","22","22","31","30","1,21","8,18","5,9","5,18","8,4","30,1","22,4","22,23","31,10","11,30"
"2025-02-23 20:30:13 UTC","2","society","30","7","3","21","6","4","11","16","28","29","30,19","7,29","3,5","21,9","30,6","32,4","11,13","16,29","32,28","19,29"
"2025-02-23 17:07:54 UTC","1","work","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9,14","10,2","20,9","23,22","12,19","9,15","12,3","17,13","4,9","21,5"
"2025-02-23 20:27:44 UTC",NA,"society","21","16","21","34",NA,NA,NA,NA,NA,NA,"21,26","29,16","18,21","9,34","30,25","32,29","22,15","14,3","4,8","6,34"
"2025-02-24 13:24:20 UTC",NA,"society","13","35","28","3","11","28","8",NA,NA,NA,"13,19","15,35","13,28","3,11","26,11","28,1","8,35","10,1","28,21","16,23"
"2025-02-26 09:20:37 UTC","2","society","35","6","26","29","11","28","2","21","34","12","35,15","6,21","21,26","25,29","11,10","28,14","2,12","21,4","34,28","32,12"
"2025-02-27 14:58:16 UTC","2","region","25","29","4","7","29","2","35","4","13","9","35,25","29,4","4,13","32,7","32,29","2,9","11,35","33,4","32,13","9,26"
"2025-02-27 15:41:04 UTC","2","society","51","6","39","47","51","28","25","29","26","9","51,1","30,6","36,39","47,36","55,51","35,28","25,50","29,18","50,26","28,9"
"2025-02-28 10:15:52 UTC","2","work","5","5","19","8","12","4","9","8","28","7","5,23","5,26","23,19","14,8","12,1","4,22","6,9","8,6","28,25","7,8"
"2025-03-10 13:37:41 UTC","2","society","6","18","56","10",NA,NA,NA,NA,NA,NA,"6,2","18,19","36,56","10,54","35,37","56,49","55,50","41,20","7,42","12,45"
"2025-02-28 15:11:04 UTC","2","society","14","51","8","37","53","53","5","46","20","10","48,14","44,51","8,12","37,19","53,18","53,50","17,5","46,14","55,20","10,56"
"2025-03-09 22:28:42 UTC","2","society","11","8","24","1","56","51","26","42","12","38","11,21","8,43","27,24","28,1","12,56","33,51","26,41","42,49","12,27","38,13"
"2025-02-28 17:43:19 UTC","2","society","51","21","4","6","35","11","38","25","11","11","40,51","18,21","14,4","6,41","35,23","11,50","38,9","25,36","11,41","39,11"
"2025-02-28 15:19:19 UTC","2","region","29","33","21","2","28","11","33","3","29","7","29,36","33,15","21,2","20,2","8,28","11,12","33,18","3,34","3,29","7,22"
"2025-02-28 16:39:40 UTC","1","society","44","11","37","43","12","20","41","32","30","43","53,44","11,32","37,39","52,43","12,51","24,20","41,50","32,52","30,17","52,43"
"2025-03-01 11:20:16 UTC","1","society","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17,43","6,7","16,54","47,5","28,24","35,34","54,34","33,8","51,32","53,15"
"2025-03-11 14:38:41 UTC","2","society","47","6","1","38","33","20","20",NA,NA,NA,"47,37","6,10","32,1","38,41","10,33","20,46","20,45","41,29","11,19","41,6"
"2025-03-11 14:40:53 UTC","2","work","8","24","4",NA,NA,NA,NA,NA,NA,NA,"8,7","23,24","4,25","9,5","24,13","2,22","16,27","22,25","25,7","28,5"
"2025-03-11 15:02:15 UTC",NA,"society","16","14","20","52","39","21","48","35","33","37","1,16","14,26","15,20","52,41","11,39","21,52","18,48","46,35","33,41","10,37"
"2025-03-11 15:22:00 UTC",NA,"society","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42,38","34,55","10,36","39,45","13,25","54,40","43,12","50,13","45,43","25,20"
"2025-03-11 16:27:22 UTC","2","work","20","21","2","28","24","18","6","13","7","13","20,10","21,28","2,23","9,28","8,24","11,18","6,28","22,13","7,15","11,13"
"2025-03-11 15:10:15 UTC","2","society","24","34","49","14","3","23","54","24","7","9","47,24","4,34","19,49","47,14","3,40","23,26","54,21","24,5","51,7","9,15"
"2025-03-11 16:43:19 UTC","1","region","8","1","7","29","14","30","3","21","25","18","12,8","1,34","20,7","29,22","15,14","6,30","3,9","21,34","25,16","18,36"
"2025-03-11 15:43:58 UTC","2","society","30","32","33","45","56","38","23","45","19","49","30,56","14,32","2,33","45,41","45,56","38,11","13,23","45,2","19,50","49,15"
"2025-03-11 15:42:43 UTC","2","region","35","10","17","28","26","27","7","31","6","10","25,35","19,10","14,17","28,13","27,26","21,27","7,2","26,31","6,8","10,35"
"2025-03-11 17:11:36 UTC",NA,"region","32","29","24","20","2",NA,NA,NA,NA,NA,"10,32","29,12","4,24","34,20","2,30","16,17","35,6","3,15","5,19","35,31"
"2025-03-11 17:13:34 UTC","2","society","8","2","14","44","14","12","18",NA,NA,NA,"40,8","2,25","13,14","4,44","14,44","23,12","25,18","43,40","41,39","38,6"
"2025-03-11 21:33:08 UTC","1","society","12","8","5","26","38","47","7","44","56","1","12,19","55,8","5,49","26,3","38,18","32,47","7,22","44,49","56,7","38,1"
"2025-03-11 17:30:24 UTC","2","work","1","28","7","5","5","13","17","12","4","12","5,1","2,28","14,7","5,25","23,5","13,3","17,20","28,12","27,4","12,14"
"2025-03-11 17:28:56 UTC","2","region","28","13","15","7","36","10","35","30","36","19","32,28","12,13","15,10","7,24","36,31","10,33","35,18","36,30","33,36","19,12"
"2025-03-11 17:36:01 UTC","2","society","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,11","53,23","7,3","22,34","44,49","29,30","51,9","34,38","9,53","50,48"
"2025-03-13 10:11:15 UTC","2","society","49","9","12","27","38","15","31","55","22","1","13,49","9,23","12,47","43,27","38,31","15,48","38,31","55,48","38,22","40,1"
"2025-03-11 17:32:26 UTC","2","society","52","54",NA,NA,NA,NA,NA,NA,NA,NA,"40,52","54,16","36,37","48,47","48,26","1,45","55,21","34,6","46,37","26,55"
"2025-03-13 10:26:23 UTC","2","society","18","1","39","56","12","27","5","55","11","22","18,7","27,1","39,15","56,39","12,50","27,50","5,18","37,55","11,40","14,22"
"2025-03-11 22:04:41 UTC","1","society","45","34","31","33","37","46","33","26","33",NA,"53,45","55,34","55,31","56,33","37,53","15,46","33,22","26,52","33,54","52,54"
"2025-03-13 08:52:41 UTC","1","society","32","53","45","53","11","46","1","31","51","8","37,32","41,53","41,45","53,56","41,11","46,25","1,49","31,42","12,51","8,48"
"2025-03-13 08:37:50 UTC","2","society","20","53","25","12","51","52","7","25","38","42","10,20","56,53","53,25","10,12","51,20","21,52","14,7","25,42","38,32","42,29"
"2025-03-13 09:18:35 UTC","2","society","7","6","2","35","27","4","20","38","51","2","7,50","6,47","2,38","50,35","27,54","4,36","48,20","38,54","51,13","49,2"
"2025-03-13 09:33:36 UTC",NA,"society","9","44","33","32","38","39","39","44","28","47","9,33","36,44","37,33","32,27","38,52","53,39","55,39","32,44","28,41","47,48"
"2025-03-13 17:43:38 UTC","2","work","4","20","17","35","16","23","30","19","2","20","4,18","20,24","21,17","29,35","16,17","23,29","30,33","19,13","2,33","20,30"
"2025-03-13 10:29:29 UTC","2","work","21","27","2","20","27","5","3","8","10","19","21,4","27,5","17,2","28,20","27,1","5,23","3,8","26,8","10,4","26,19"
"2025-03-13 14:47:16 UTC","2","work","28","18","33","21","20","17","35","13","3","21","28,1","29,18","33,29","21,27","20,33","29,17","35,1","13,1","3,18","21,27"
"2025-03-13 10:57:59 UTC","2","region","36","16","27","21","13","11","28","17","4","21","36,20","7,16","27,12","16,21","16,13","11,21","14,28","22,17","32,4","4,21"
"2025-03-13 13:12:00 UTC",NA,"work","21","27",NA,NA,NA,NA,NA,NA,NA,NA,"21,5","27,11","13,11","9,7","17,28","26,27","27,10","3,8","5,4","26,28"
"2025-03-13 14:44:22 UTC",NA,"work","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,12","3,4","5,4","5,1","17,3","14,4","1,12","24,8","2,14","17,5"
"2025-03-13 14:24:42 UTC","1","work","7","19","15","21","25","13","11","28","6","9","24,7","8,19","15,7","21,6","25,16","10,13","11,7","18,28","6,22","9,6"
"2025-03-14 08:56:44 UTC",NA,"work","8","3","9","28","21","15","5","32","1",NA,"8,33","16,3","9,16","28,22","25,21","24,15","32,5","32,11","1,25","1,28"
"2025-03-14 09:11:32 UTC",NA,"work","8","13","8","33","31","19","9","3","19","13","8,24","16,13","8,22","22,33","11,31","27,19","9,26","3,15","25,19","13,30"
"2025-03-14 08:59:41 UTC","2","society","28","22","30","47","61","27","22","49","62","42","52,28","22,14","30,44","47,48","61,16","60,27","22,18","50,49","52,62","10,42"
"2025-03-14 08:58:50 UTC","2","society","43","62","58","2","34","49","35","27","40","7","43,56","9,62","44,58","25,2","20,34","49,43","59,35","27,4","26,40","7,49"
"2025-03-14 09:00:11 UTC",NA,"society","61","51","16","43","43","44","57","46","44","26","61,23","34,51","16,34","43,59","36,43","53,44","57,35","10,46","44,43","26,25"
"2025-03-14 10:05:53 UTC","1","society","54","54","14","60","58","32","2","51","56","38","10,54","54,24","14,59","60,15","26,58","32,60","51,2","22,51","18,56","38,46"
"2025-03-14 10:13:44 UTC",NA,"society","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,61","62,24","54,23","55,12","24,54","34,54","47,9","51,54","8,32","46,30"
"2025-03-14 13:00:54 UTC","1","region","25","3","30","30","1","30","4","17","36","6","25,27","35,3","36,30","30,12","1,36","30,23","29,4","17,39","30,36","6,25"
"2025-03-14 12:55:48 UTC",NA,"region","3","2","1","9","7","10","36","36","6","16","38,3","2,33","2,1","5,9","7,20","39,10","36,9","36,28","6,12","27,16"
"2025-03-15 07:15:21 UTC",NA,"society","9","30","58","32","18","20","58","27","41","13","9,11","7,30","45,58","25,32","24,18","47,20","58,56","50,27","50,41","13,62"
"2025-03-15 09:35:06 UTC",NA,"society","46","23","34","59","18","25","47","58","10","26","55,46","23,36","34,26","59,11","42,18","45,25","47,45","58,31","10,44","26,30"
"2025-03-14 12:11:56 UTC",NA,"work","20","31",NA,NA,NA,NA,NA,NA,NA,NA,"23,20","31,9","29,14","20,11","28,3","15,33","20,35","22,25","10,7","33,31"
"2025-03-17 15:31:46 UTC","2","society","16","25","32","3","14","9","17","24","20","35","2,16","55,25","32,33","3,39","58,14","9,19","17,48","24,15","20,45","58,35"
"2025-03-18 10:55:26 UTC","2","region","9","13","25","36","28","16","3","15","2","22","22,9","13,11","25,8","36,34","24,28","16,22","38,3","12,15","28,2","22,3"
"2025-03-17 14:47:56 UTC","2","society","59","20","27","57","58","39","59","40","11","21","59,18","29,20","27,34","29,57","39,58","23,39","59,55","40,50","11,45","50,21"
"2025-03-24 14:17:04 UTC",NA,"society","15","31","11",NA,NA,NA,NA,NA,NA,NA,"15,3","31,25","11,62","9,53","56,10","42,55","53,15","49,52","40,58","8,56"
"2025-03-24 15:23:21 UTC","1","work","9","29","13","16","3","4","10","33","15","19","27,9","24,29","27,13","16,24","3,12","4,26","10,22","9,33","15,23","19,28"
"2025-03-21 06:16:34 UTC","1","society","5","36","61","1","30","31","51","1","31","30","56,5","40,36","47,61","38,1","56,30","31,43","15,51","1,24","31,41","30,31"
"2025-03-21 07:09:33 UTC","2","society","26","40","43","57","30","63","2","63","27","5","55,26","40,30","43,53","10,57","30,36","63,61","26,2","63,9","27,64","37,5"
"2025-03-21 06:07:47 UTC","2","region","7","41","18","31","18","5","31","9","22","2","7,14","33,41","18,6","31,24","18,37","5,7","38,31","34,9","22,3","2,30"
"2025-03-21 08:56:03 UTC",NA,"work","31","7","13","32",NA,NA,NA,NA,NA,NA,"8,31","14,7","13,11","4,32","29,3","12,10","11,16","5,34","28,9","32,11"
"2025-03-24 15:18:59 UTC",NA,"society","58","2","1","3","46","35","11","15","10","60","38,58","50,2","38,1","40,3","3,46","35,46","50,11","50,15","10,25","40,60"
"2025-03-21 09:05:44 UTC","1","region","21","7","19","25","41","41","7","18","26","7","21,34","7,37","19,17","25,22","41,37","23,41","35,7","4,18","26,24","11,7"
"2025-03-24 15:18:50 UTC","3","society","7","8","59","64","5","31","57","64","2","7","7,56","55,8","41,59","43,64","48,5","31,47","57,49","23,64","2,28","24,7"
"2025-03-21 12:30:51 UTC","2","society","51","64","62","20","21","51","6","34","40","59","54,51","39,64","62,19","62,20","21,55","51,56","48,6","17,34","49,40","59,7"
"2025-03-21 15:00:26 UTC",NA,"society","60","21","56","51","62","2","58","37","22","25","60,22","60,21","56,19","51,41","62,60","38,2","58,15","37,48","22,47","48,25"
"2025-03-21 15:06:55 UTC","3","society","21","24","57","3","29","51","54","16","1","27","21,6","24,19","5,57","3,63","29,57","51,14","41,54","16,34","1,54","35,27"
"2025-03-23 15:36:48 UTC","1","society","39","55","51","8","55","64","27","8","12","63","39,49","46,55","3,51","34,8","24,55","48,64","27,1","8,61","15,12","63,52"
"2025-03-24 13:58:11 UTC",NA,"society","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40,8","50,19","23,6","46,25","46,32","3,51","5,60","57,51","48,46","62,28"
"2025-03-24 15:25:55 UTC","1","society","41","39","59","46","3","4","6","52","57","18","25,41","16,39","59,33","16,46","62,3","10,4","6,61","8,52","34,57","18,3"
"2025-03-24 15:56:31 UTC",NA,"society","55","5","57","42","59","37","11","2","50",NA,"55,61","5,40","57,58","42,28","59,53","37,40","11,6","2,6","50,58","6,23"
"2025-03-24 15:31:26 UTC","1","society","3","11","32","40","15","6","62","30",NA,NA,"39,3","40,11","32,29","28,40","17,15","6,39","62,22","30,38","63,15","3,60"
"2025-03-24 15:34:30 UTC",NA,"society","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,"64,26","9,37","50,21","60,49","21,60","39,64","52,33","38,20","50,18","9,22"
"2025-03-24 15:39:23 UTC","2","society","22","34","56","46","40","10","52","60","47","35","50,22","38,34","56,52","3,46","40,30","10,38","52,19","24,60","47,59","35,52"
"2025-03-24 16:17:20 UTC","2","region","30","37","10","12","4","11","5","33","30","1","37,30","37,15","10,15","27,12","23,4","22,11","11,5","33,31","35,30","35,1"
"2025-03-24 16:14:30 UTC","2","society","26","9","62","3","57","18","28","40","12","22","26,21","15,9","21,62","42,3","57,20","43,18","22,28","40,21","3,12","22,53"
"2025-03-24 18:54:00 UTC","1","society","57","7","35","51","12","27","35","44","10","22","57,46","51,7","33,35","51,64","12,50","39,27","35,20","55,44","10,62","22,61"
"2025-03-24 17:49:21 UTC","2","work","22","15","31","1","14","9","28","18","5","19","22,26","15,22","23,31","1,17","22,14","29,9","8,28","23,18","34,5","19,12"
"2025-03-24 17:58:59 UTC",NA,"society","51","1","55","25","20","7","56","51","57","1","58,51","24,1","55,63","37,25","20,40","41,7","56,25","51,61","29,57","1,40"
"2025-03-24 20:48:32 UTC","2","work","33","24","35","12","9","25","3","6","18","30","21,33","24,34","26,35","12,27","24,9","25,27","3,13","6,14","25,18","14,30"
